iteration	energy	residual_norm	L2-error	H1-error
2460	-7.336280e+01	2.066282e-03	1.699926e-02	1.088189e-01
2470	-7.336280e+01	2.034856e-02	1.700424e-02	1.088193e-01
2480	-7.336282e+01	1.493065e-04	1.722680e-02	1.088054e-01
2490	-7.336282e+01	1.450249e-04	1.717199e-02	1.087155e-01
2500	-7.336282e+01	6.292597e-03	1.717135e-02	1.087008e-01
2510	-7.336282e+01	3.499588e-05	1.720408e-02	1.087027e-01
2520	-7.336282e+01	1.778288e-04	1.719040e-02	1.086961e-01
2530	-7.336282e+01	4.529046e-04	1.716958e-02	1.086658e-01
2540	-7.336282e+01	3.587629e-05	1.717947e-02	1.086653e-01
2550	-7.336282e+01	5.368737e-03	1.718653e-02	1.086749e-01
2560	-7.336283e+01	3.237868e-04	1.718362e-02	1.090139e-01
2570	-7.336285e+01	7.320271e-01	1.753271e-02	1.097219e-01
2580	-7.336285e+01	8.457143e-05	1.729163e-02	1.098220e-01
2590	-7.336285e+01	1.782361e-04	1.727993e-02	1.098176e-01
2600	-7.336285e+01	3.363975e-03	1.731510e-02	1.098351e-01
2610	-7.336285e+01	1.533083e-03	1.747650e-02	1.099719e-01
2620	-7.336285e+01	2.182604e-03	1.736151e-02	1.099539e-01
2630	-7.336285e+01	1.404549e-03	1.732354e-02	1.099482e-01
2640	-7.336285e+01	5.117865e-04	1.731636e-02	1.099453e-01
2650	-7.336286e+01	7.127847e-03	1.729760e-02	1.099838e-01
2660	-7.336286e+01	1.982173e-03	1.731246e-02	1.099955e-01
2670	-7.336286e+01	1.169421e-03	1.738768e-02	1.100383e-01
2680	-7.336286e+01	2.903151e-04	1.733383e-02	1.100382e-01
2690	-7.336286e+01	1.728917e-05	1.732002e-02	1.100339e-01
2700	-7.336285e+01	1.134785e-03	1.738179e-02	1.100577e-01
2710	-7.336286e+01	6.650496e-02	1.738974e-02	1.100546e-01
2720	-7.336287e+01	3.164933e-05	1.732944e-02	1.101651e-01
2730	-7.336287e+01	5.925727e-04	1.747633e-02	1.105012e-01
2740	-7.336287e+01	1.017121e-03	1.747617e-02	1.105142e-01
2750	-7.336287e+01	3.369170e-04	1.732295e-02	1.104184e-01
2760	-7.336288e+01	1.046674e-03	1.734303e-02	1.103673e-01
2770	-7.336288e+01	6.789548e-03	1.735749e-02	1.103713e-01
2780	-7.336288e+01	1.410170e-04	1.734180e-02	1.103680e-01
2790	-7.336288e+01	5.360035e-03	1.739195e-02	1.103954e-01
2800	-7.336288e+01	3.138942e-03	1.734795e-02	1.103825e-01
2810	-7.336287e+01	1.899739e-02	1.736060e-02	1.103935e-01
2820	-7.336288e+01	1.203234e-03	1.743254e-02	1.104927e-01
2830	-7.336289e+01	1.094209e-03	1.756561e-02	1.106976e-01
2840	-7.336289e+01	6.297994e-04	1.751809e-02	1.107395e-01
2850	-7.336290e+01	3.526800e-02	1.750570e-02	1.107473e-01
2860	-7.336291e+01	1.379137e-04	1.736567e-02	1.107688e-01
2870	-7.336291e+01	9.652198e-02	1.748133e-02	1.107987e-01
2880	-7.336291e+01	1.159482e-03	1.747289e-02	1.107990e-01
2890	-7.336294e+01	8.277384e-04	1.707709e-02	1.099665e-01
2900	-7.336294e+01	3.267114e-03	1.702610e-02	1.098687e-01
2910	-7.336296e+01	4.871024e-02	1.705066e-02	1.100521e-01
2920	-7.336298e+01	3.793858e-04	1.737489e-02	1.104565e-01
2930	-7.336298e+01	4.715071e-04	1.737534e-02	1.104541e-01
2940	-7.336299e+01	4.048934e-03	1.754469e-02	1.104614e-01
2950	-7.336299e+01	4.113351e-03	1.727675e-02	1.102481e-01
2960	-7.336299e+01	6.010256e-03	1.727216e-02	1.102522e-01
2970	-7.336301e+01	3.488044e-04	1.727601e-02	1.107179e-01
2980	-7.336301e+01	4.039600e-03	1.726886e-02	1.107145e-01
2990	-7.336301e+01	9.426806e-04	1.722315e-02	1.106816e-01
3000	-7.336301e+01	2.550181e-04	1.720239e-02	1.106629e-01
3010	-7.336302e+01	3.095455e-01	1.710205e-02	1.103555e-01
3020	-7.336302e+01	3.130072e-03	1.699504e-02	1.102568e-01
3030	-7.336302e+01	2.559055e-03	1.744791e-02	1.104193e-01
3040	-7.336302e+01	3.375918e-04	1.722389e-02	1.103677e-01
3050	-7.336303e+01	7.154803e-02	1.723330e-02	1.103494e-01
3060	-7.336303e+01	3.461131e-04	1.719694e-02	1.102922e-01
3070	-7.336303e+01	8.166821e-05	1.719634e-02	1.102862e-01
3080	-7.336303e+01	1.707303e-03	1.731858e-02	1.104725e-01
3090	-7.336304e+01	1.080434e-02	1.731243e-02	1.104995e-01
3100	-7.336304e+01	1.680608e-04	1.729308e-02	1.105019e-01
3110	-7.336304e+01	3.089363e-04	1.694511e-02	1.104724e-01
3120	-7.336305e+01	4.632830e-03	1.728912e-02	1.106855e-01
3130	-7.336305e+01	3.224045e-04	1.728817e-02	1.106871e-01
3140	-7.336305e+01	9.110402e-04	1.729507e-02	1.106976e-01
3150	-7.336305e+01	1.777680e-03	1.730123e-02	1.107040e-01
